STATE,District Name,Commodity,Modal_Price,Date,Price_per_kg,Price_display
Maharashtra,jalgaon,Onion,955.4583333333334,31-May-2025,9.55,₹ 9.55 / kg
Maharashtra,jalgaon,Potato,1680.4878048780488,31-May-2025,16.8,₹ 16.8 / kg
Maharashtra,kolhapur,Onion,1156.0975609756097,31-May-2025,11.56,₹ 11.56 / kg
Maharashtra,kolhapur,Potato,2200.0,31-May-2025,22.0,₹ 22.0 / kg
Maharashtra,mumbai,Onion,1162.5,31-May-2025,11.62,₹ 11.62 / kg
Maharashtra,mumbai,Potato,1489.5833333333333,31-May-2025,14.9,₹ 14.9 / kg
Maharashtra,nagpur,Onion,1367.6176470588234,31-May-2025,13.68,₹ 13.68 / kg
Maharashtra,nagpur,Potato,1872.684210526316,31-May-2025,18.73,₹ 18.73 / kg
Maharashtra,nagpur,Rice,4600.0,31-May-2025,46.0,₹ 46.0 / kg
Maharashtra,nandurbar,Onion,1932.6666666666667,28-Feb-2025,19.33,₹ 19.33 / kg
Maharashtra,nashik,Onion,1085.7514496314498,31-May-2025,10.86,₹ 10.86 / kg
Maharashtra,nashik,Potato,1722.0,31-May-2025,17.22,₹ 17.22 / kg
Maharashtra,nashik,Rice,2200.0,31-May-2025,22.0,₹ 22.0 / kg
Maharashtra,pune,Onion,1057.190476190476,31-May-2025,10.57,₹ 10.57 / kg
Maharashtra,pune,Potato,1514.567901234568,31-May-2025,15.15,₹ 15.15 / kg
Maharashtra,pune,Rice,2000.0,31-May-2025,20.0,₹ 20.0 / kg
Maharashtra,raigad,Rice,3359.04761904762,31-May-2025,33.59,₹ 33.59 / kg
Maharashtra,sangli,Onion,1110.9756097560976,31-May-2025,11.11,₹ 11.11 / kg
Maharashtra,sangli,Potato,1800.0,31-May-2025,18.0,₹ 18.0 / kg
Maharashtra,sangli,Rice,6720.0,31-May-2025,67.2,₹ 67.2 / kg
Maharashtra,satara,Onion,1205.645161290323,31-May-2025,12.06,₹ 12.06 / kg
