STATE,District Name,Commodity,Date,Modal_Price
Haryana,faridabad,Potato,28-02-2025,865.9574468085107
Haryana,faridabad,Potato,31-03-2025,859.1836734693877
Haryana,faridabad,Potato,30-04-2025,895.5555555555555
Haryana,faridabad,Potato,31-05-2025,975.6410256410256
Haryana,faridabad,Potato,30-06-2025,1142.3076923076924
Haryana,fatehabad,Onion,28-02-2025,2563.6363636363635
Haryana,fatehabad,Onion,31-03-2025,2055.555555555556
Haryana,fatehabad,Onion,30-04-2025,1289.6341463414635
Haryana,fatehabad,Onion,31-05-2025,1141.2087912087911
Haryana,fatehabad,Onion,30-06-2025,1131.4814814814815
Haryana,fatehabad,Potato,31-01-2025,1155.357142857143
Haryana,fatehabad,Potato,28-02-2025,784.2441860465116
Haryana,fatehabad,Potato,31-03-2025,814.4329896907217
Haryana,fatehabad,Potato,30-04-2025,781.685393258427
Haryana,fatehabad,Potato,31-05-2025,826.0
Haryana,fatehabad,Potato,30-06-2025,940.3846153846154
Haryana,gurgaon,Onion,28-02-2025,2511.6279069767443
Haryana,gurgaon,Onion,31-03-2025,2323.3050847457625
Haryana,gurgaon,Onion,30-04-2025,1364.732142857143
Haryana,gurgaon,Onion,31-05-2025,1207.5892857142858
Haryana,gurgaon,Onion,30-06-2025,1115.2777777777778
Haryana,gurgaon,Potato,31-01-2025,1182.4468085106382
Haryana,gurgaon,Potato,28-02-2025,1000.0
Haryana,gurgaon,Potato,31-03-2025,1022.1739130434784
Haryana,gurgaon,Potato,30-04-2025,1012.280701754386
Haryana,gurgaon,Potato,31-05-2025,1082.2727272727273
Haryana,gurgaon,Potato,30-06-2025,1186.4864864864865
Haryana,jind,Onion,28-02-2025,2277.551020408164
Haryana,jind,Onion,31-03-2025,1914.9253731343283
Haryana,jind,Onion,30-04-2025,1077.3584905660375
Haryana,jind,Onion,31-05-2025,1027.2727272727273
Haryana,jind,Onion,30-06-2025,978.2608695652174
Haryana,jind,Potato,31-01-2025,1070.5882352941176
Haryana,jind,Potato,28-02-2025,848.9230769230769
Haryana,jind,Potato,31-03-2025,874.4202898550725
Haryana,jind,Potato,30-04-2025,875.0
Haryana,jind,Potato,31-05-2025,938.0281690140844
Haryana,jind,Potato,30-06-2025,986.3636363636364
Haryana,kaithal,Onion,28-02-2025,2602.830188679245
Haryana,kaithal,Onion,31-03-2025,2374.390243902439
Haryana,kaithal,Onion,30-04-2025,1636.1494252873565
Haryana,kaithal,Onion,31-05-2025,1365.4128440366972
Haryana,kaithal,Onion,30-06-2025,1378.108108108108
Haryana,kaithal,Potato,31-01-2025,1173.7777777777778
Haryana,kaithal,Potato,28-02-2025,767.22
Haryana,kaithal,Potato,31-03-2025,738.0530973451328
Haryana,kaithal,Potato,30-04-2025,808.1932773109244
Haryana,kaithal,Potato,31-05-2025,898.6861313868613
Haryana,kaithal,Potato,30-06-2025,979.1111111111112
Haryana,karnal,Onion,28-02-2025,2525.2808988764045
Haryana,karnal,Onion,31-03-2025,2116.05504587156
Haryana,karnal,Onion,30-04-2025,1594.5833333333333
Haryana,karnal,Onion,31-05-2025,1293.4065934065934
Haryana,karnal,Onion,30-06-2025,1239.7058823529412
Haryana,karnal,Potato,31-01-2025,1076.984126984127
Haryana,karnal,Potato,28-02-2025,803.6206896551724
Haryana,karnal,Potato,31-03-2025,803.2627118644068
Haryana,karnal,Potato,30-04-2025,862.156862745098
Haryana,karnal,Potato,31-05-2025,1015.108695652174
Haryana,karnal,Potato,30-06-2025,1108.8235294117646
Haryana,kurukshetra,Onion,28-02-2025,2438.059701492537
Haryana,kurukshetra,Onion,31-03-2025,2081.3253012048194
Haryana,kurukshetra,Onion,30-04-2025,1437.9690721649486
Haryana,kurukshetra,Onion,31-05-2025,1119.3885350318471
Haryana,kurukshetra,Onion,30-06-2025,1201.186046511628
Haryana,kurukshetra,Potato,31-01-2025,896.8771929824561
Haryana,kurukshetra,Potato,28-02-2025,613.5388888888889
Haryana,kurukshetra,Potato,31-03-2025,637.4857142857143
Haryana,kurukshetra,Potato,30-04-2025,802.2444444444444
Haryana,kurukshetra,Potato,31-05-2025,857.6818181818181
Haryana,kurukshetra,Potato,30-06-2025,985.4285714285714
Haryana,mewat,Onion,28-02-2025,2127.5
Haryana,mewat,Onion,31-03-2025,2114.4927536231885
Haryana,mewat,Onion,30-04-2025,1621.2121212121212
Haryana,mewat,Onion,31-05-2025,1236.4864864864865
Haryana,mewat,Onion,30-06-2025,1217.391304347826
Haryana,mewat,Potato,31-01-2025,1278.2608695652175
Haryana,mewat,Potato,28-02-2025,921.4285714285714
